title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Who Made Me a Princess,"The beautiful Athanasia was killed at the hands of her own biological father, Claude de Alger Obelia, the cold-blooded emperor! It’s just a silly bedtime story… until one woman wakes up to suddenly find she’s become that unfortunate princess! She needs a plan to survive her doomed fate, and time is running out. Will she go with Plan A, live as quietly as possible without being noticed by the infamous emperor? Plan B, collect enough money to escape the palace? Or will she be stuck with plan C, sweet-talking her way into her father’s good graces?!",4.7,2017,"['Fantasy', 'Manhwa', 'Romance', 'Slice of Life', 'Webtoons', 'Full Color', 'Isekai', 'Magic', 'Person in a Strange World', 'Political', 'Reincarnation', 'Royalty', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/who-made-me-a-princess-1-190x266.jpg?t=1625919708,Who Made Me a Princess,170,Manhwa,9,Dec 2017 - Apr 2022,44361,https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess,https://cdn.myanimelist.net/r/100x140/images/manga/1/222587.jpg?s=cecf3c4b967303b8718e6158a2127177,8.44
Omniscient Reader,"Back then, Dokja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dokja will go on a journey to change the course of the story and save humankind once and for all.",4.7,2020,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Cheats', 'Full Color', 'High Stakes Games', 'Play or Die', 'Psychological', 'PVE', 'PVP', 'RPG', 'Survival', 'Urban Fantasy', 'Explicit Violence', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/omniscient-reader-1-285x409.jpg?t=1628025756,Omniscient Reader,216,Manhwa,?,May 2020 -,86865,https://myanimelist.net/manga/132214/Omniscient_Reader,https://cdn.myanimelist.net/r/100x140/images/manga/2/238873.jpg?s=858d19412b33a49c830e878dda63a246,8.39
Bastard,"Jin has lived a tough life. One of his oldest memories is waking up in the hospital, having received an artificial heart valve, and a glass eye. And as a student, he's relentlessly bullied for his disabilities. But Jin's school life is nothing compared to his home life, where he's raised by his father, a serial killer who targets young women and forces the boy to act as his accomplice. Can Jin do anything to stop his father's reign of terror without becoming the next victim?",4.7,2014,"['Drama', 'Horror', 'Manhwa', 'Romance', 'Webtoons', 'Criminals', 'Disability', 'Dysfunctional Families', 'Full Color', 'Mind Games', 'Psychological', 'Psychopaths', 'Serial Killers', 'Thriller', 'Bullying', 'Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/bastard-1-190x289.jpg?t=1625913904,Bastard,137,Manhwa,5,Jul 2014 - May 2016,125977,https://myanimelist.net/manga/111213/Bastard,https://cdn.myanimelist.net/r/100x140/images/manga/1/205549.jpg?s=81a22f6e7bc4ef04c4f6bcde20e3bb22,8.5
Banana Fish,"Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands--and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...",4.7,1985,"['Action', 'Adventure', 'Drama', 'Mystery', 'Shoujo', 'America', 'Delinquents', 'Guns', 'Hand to Hand Combat', 'Psychological', 'Drug Use', 'Emotional Abuse', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Sexual Content', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/banana-fish-1-285x429.jpg?t=1629834461,Banana Fish,74,Manga,19,Apr 1985 - Mar 1994,52440,https://myanimelist.net/manga/756/Banana_Fish,https://cdn.myanimelist.net/r/100x140/images/manga/5/265185.jpg?s=cd2b4cad8fd1a76febbc6801f588ba39,8.63
Teenage Mercenary,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?",4.7,2020,"['Action', 'Drama', 'Manhwa', 'Webtoons', 'Full Color', 'Lifestyle Change', 'School Life']",https://cdn.anime-planet.com/manga/primary/teenage-mercenary-1-190x266.jpg?t=1625929294,Teenage Mercenary,972,Manhwa,?,Nov 2020 -,20119,https://myanimelist.net/manga/146966/Teenage_Mercenary,https://cdn.myanimelist.net/r/100x140/images/manga/3/260540.jpg?s=fab413353d70cfd1ed6d7c254c93b660,7.9
Spirit Fingers!,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked out…OR, if you’re Amy Song you could join up with the Spirit Fingers – the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.",4.7,2015,"['Comedy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'School Club']",https://cdn.anime-planet.com/manga/primary/spirit-fingers-1-190x266.jpg?t=1625914644,Spirit Fingers,401,Manhwa,13,May 2015 - Jul 2018,6444,https://myanimelist.net/manga/112370/Spirit_Fingers,https://cdn.myanimelist.net/r/100x140/images/manga/2/206123.jpg?s=20c190393da259cf6ee481c74b8992fe,8.21
Your Letter,"Sori is a special young girl - kind, caring and principled well beyond her years. Unfortunately, these are NOT the personality traits generally celebrated in middle school – especially Sori’s, where she’s bullied mercilessly for defending the defenseless until she herself becomes a target. To escape, she transfers to a new school where the same old problems begin to play out all over again – that is until a mysterious trail of letters leads Sori on a magical scavenger hunt through the hidden world that exists right below the surface of her new middle school. The mail trail is the work an anonymous guardian angel, whose mission seems to be to provide a soft landing for Sori at her new school. But who is this person? And why did he choose her? With each letter, secrets are revealed and bonds are formed - as Sori learns about friendship, flora, fauna and finding the good in people in this strange new environment.",4.7,2018,"['Adventure', 'Drama', 'Manhwa', 'Mystery', 'Webtoons', 'Full Color', 'School Life', 'Bullying']",https://cdn.anime-planet.com/manga/primary/your-letter-1-190x270.jpg?t=1625920730,Your Letter,613,Manhwa,1,Aug 2018 - Oct 2018,10618,https://myanimelist.net/manga/120875/Your_Letter,https://cdn.myanimelist.net/r/100x140/images/manga/2/222246.jpg?s=7edcf3385ecd5f3fdb171945efc905ff,8.07
The Male Lead's Little Lion Daughter,"The handsome Duke Voreoti is the most terrifying man in the empire, with the coldest of demeanors and a gaze that can kill. But one day, he suddenly says that he wants to… adopt a child?! And that child is me?! After finding me at a shady orphanage, he whisked me away to his snowy palace without a second thought. Now I’m learning all the ways of the feared Voreoti family from his knights. However, things get dicey when the Duke becomes suspicious of my origins. With these fangs and jet black hair, perhaps we are more than just kindred spirits…",4.7,2021,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Nobility', 'Person in a Strange World', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-male-leads-little-lion-daughter-1-285x399.webp?t=1640373784,The Male Lead's Little Lion Daughter,1173,Manhwa,?,Aug 2021 -,4356,https://myanimelist.net/manga/148238/The_Male_Leads_Little_Lion_Daughter,https://cdn.myanimelist.net/r/100x140/images/manga/3/263090.jpg?s=e79c80d21e14186c017585e0d9779578,7.83
20th Century Boys,"The world is never quite the same once we grow up. Villains and robots that once ran rampant in our imaginations are reduced to drawings in Manga, and our lives are distilled until there is little left but the daily grind; so it has been for Kenji. After a childhood of dreams he now runs his late father's liquor store and is raising his sister's child. The memories and friends from his early years bring him some happiness, but they become tainted as a string of murders find connections to his past. Kenji and his friends must now fight to save the future from their past and unravel the mystery of ""Friend.""",4.7,1999,"['Action', 'Drama', 'Mystery', 'Sci Fi', 'Seinen', 'Historical', 'Psychological']",https://cdn.anime-planet.com/manga/primary/20th-century-boys-1-190x275.jpg?t=1625907535,20th Century Boys,13,Manga,22,Sep 1999 - Apr 2006,233913,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/r/100x140/images/manga/5/260006.jpg?s=eafcd1c26c3ba99b451888d04db02733,8.95
Vagabond,"Following a horrific defeat at the battle of Sekigahara, two survivors, Takezo Shinmen and Matahachi Hon’iden, are deflated at having been unable to make a name for themselves and earn glory on the battlefield. But while Matahachi is anxious to go home, Takezo has vowed never to return and intends to become a vagabond, travelling the country polishing and testing his skills as a swordsman. With a beastial mercilessness when it comes to killing and a habit of cutting down all in his path, it doesn’t take long for Takezo to become a wanted fugitive. However, after being captured by a monk named Takuan and given a new lease of life, Takezo begins to live under the name of Musashi Miyamoto. Now, with a new view on life and death, Musashi continues to travel the nation challenging the most infamous fighters to achieve his goal of becoming the strongest samurai ever known.",4.7,1998,"['Action', 'Adventure', 'Drama', 'Seinen', '17th Century', 'Feudal Japan', 'Hiatus', 'Historical', 'Samurai', 'Swordplay', 'Explicit Violence']",https://cdn.anime-planet.com/manga/primary/vagabond-1-190x272.jpg?t=1625908170,Vagabond,3,Manga,37,Sep 1998 - May 2015,345175,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/r/100x140/images/manga/1/259070.jpg?s=f973f0a07bd37e45f63d71ab122a8c6e,9.23
Roxana,"Kidnapping, murder, and risqué relationships! Within the scandalous pages of The Abysmal Flower, the downfall of Roxana Agrece’s criminal family is already foretold. So when Cassis Pedelian, the heroine’s older brother, is kidnapped by Roxana’s father, she can either wait for the heroine’s revenge... or take matters into her own hands, since Cassis is the key to her survival. But with deceitful characters on all sides, can Roxana and Cassis trust each other enough to bring down the brutal Agreces?",4.7,2021,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Isekai', 'Person in a Strange World', 'Psychological', 'Transported Into a Novel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/roxana-1-285x399.jpg?t=1629329045,Roxana,974,Manhwa,?,Jan 2021 -,6846,https://myanimelist.net/manga/147454/Roxana,https://cdn.myanimelist.net/r/100x140/images/manga/2/261513.jpg?s=d1dc9d1a29253b104f9cf9267dc76eff,7.89
Nano Machine,"After being held in disdain and having his life put in danger, an orphan from the Demonic Cult, Cheon Yeo-Woon, has an unexpected visit from his descendant from the future who inserts a nano machine into Cheon Yeo-Woon's body, which drastically changes Cheon Yeo-Woon's life after its activation. The story of Cheon Yeo-Woon's journey of bypassing the Demonic Cult and rising to become the best martial artist has just begun.",4.7,2020,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Sci Fi', 'Webtoons', 'Full Color', 'Martial Arts', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/nano-machine-1-190x266.jpg?t=1625927193,Nano Machine,775,Manhwa,?,Jun 2020 -,13459,https://myanimelist.net/manga/147863/Nano_Machine,https://cdn.myanimelist.net/r/100x140/images/manga/1/262455.jpg?s=2923913ded23a4a6371712147b9d34f7,7.97
GTO,"With a history of leading a motorcycle gang and getting bad grades in school, why would 22 year old Onizuka ever want to become a teacher? Is it to educate young minds or spread the joy of education? Sure, if it involves being able to look up high school girls' skirts! Watch as this would-be educator uses his own life lessons and unconstituted methods as a means to control a delinquent class of students -- students who certainly aren't as happy to have him as a teacher as he is happy to be teaching...",4.7,1996,"['Comedy', 'Drama', 'Ecchi', 'Shounen', 'Delinquents', 'School Life', 'Slapstick', 'Teaching', 'Work Life', 'Bullying', 'Emotional Abuse', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/gto-1-190x285.jpg?t=1625908141,GTO,21,Manga,25,Dec 1996 - Jan 2002,159533,https://myanimelist.net/manga/336/GTO,https://cdn.myanimelist.net/r/100x140/images/manga/2/172982.jpg?s=550a7e9f4c352122f14eb1eda73c2b2a,8.89
Level Up with the Gods,"“Maybe Inner Gods can never defeat Outer Gods…” so thought Yuwon Kim, a plucky, high-ranking warrior, after a bitter defeat. But Yuwon is too tenacious to give up. His loss becomes the dawn of a new journey as a returnee. With renewed determination, Yuwon starts back from where he began, smashing monster after monster and relearning his skills before taking on the Tower once again. But can he fight his way through the tutorials and level up once more, or will his conquest crumble before him?",4.7,2021,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Second Chance', 'Supernatural', 'Time Travel', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/level-up-with-the-gods-1-285x399.webp?t=1641972910,Level Up with the Gods,2349,Manhwa,?,Aug 2021 -,8637,https://myanimelist.net/manga/148009/Level_Up_with_the_Gods,https://cdn.myanimelist.net/r/100x140/images/manga/2/262686.jpg?s=9f95cc01340938b6ae41e0f9544ba868,7.57
The Legend of the Northern Blade,"For decades, the brave warriors of the Northern Heavenly Sect fought to keep the world safe from the evil Silent Night. But when the fourth generation leader is accused of colluding with the enemy, he is forced to disband the sect and commit suicide to protect his son, Moowon. With no family and allies left, Moowon leads a dreary life under close surveillance... until a surprise attack from the Silent Night gives him a chance to escape to the mountains. There, the young warrior trains to master the fighting techniques of his predecessors, before the mysterious disappearance of a loved one brings him back to the mainland. Follow Moowon as he embarks on a journey to avenge his father’s death and take down the villains who threaten to plunge the world into darkness!",4.7,2019,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Martial Arts', 'Revenge']",https://cdn.anime-planet.com/manga/primary/the-legend-of-the-northern-blade-1-285x399.jpg?t=1638497726,The Legend of the Northern Blade,217,Manhwa,?,Dec 2019 -,25667,https://myanimelist.net/manga/134744/The_Legend_of_the_Northern_Blade,https://cdn.myanimelist.net/r/100x140/images/manga/3/243483.jpg?s=7b52ad46e266185107a61e17edca5124,8.39
The Horizon,"Two children unexpectedly meet in the midst of war. After running away from the chaos, they come across a long empty road. With no adults to rely on, the two strangers, now become friends, walk alongside each other to see what's at the end of the road. All they hope is to keep being able to move forward. Just what kind of trials and tragedy awaits them during their journey for survival?",4.7,2016,"['Drama', 'Manhwa', 'Webtoons', 'Melancholy', 'Survival', 'War', 'Mature Themes', 'Suicide', 'Violence']",https://cdn.anime-planet.com/manga/primary/the-horizon-1-190x275.jpg?t=1625916048,The Horizon,57,Manhwa,3,Mar 2016 - Jul 2016,75610,https://myanimelist.net/manga/125036/The_Horizon,https://cdn.myanimelist.net/r/100x140/images/manga/1/229331.jpg?s=52f841d9ef1ef5e921edd0d5cf6bd763,8.68
Skip Beat!,"Kyoko moves to the big city with the prince of her dreams Shotaro; he wants to make it big in the entertainment business, so she works hard at many different jobs to support him as he achieves his dream. However, one day, Kyoko accidentally discovers the horrible truth: the love of her life thinks of her as a 'plain and boring woman!' Outraged, Kyoko swears revenge - she will make it even bigger than Shotaro in the entertainment world. The only question is, how will she fulfill her desire?",4.7,2002,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Acting', 'Idols', 'Showbiz', 'Work Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/skip-beat-1-190x285.jpg?t=1625908039,Skip Beat!,97,Manga,?,Feb 2002 -,89305,https://myanimelist.net/manga/610/Skip_Beat,https://cdn.myanimelist.net/r/100x140/images/manga/2/255389.jpg?s=abb3146cfff62713ce948025090711ab,8.57
SQ: Begin W/Your Name!,"When Sun Jing in Affiliated No.2 Middle School encounters with Qiutong of South Middle School, a small episode makes Sun remember the girl whose smile as warm as sunshine. Their schools are adjacent, so Sun Jing always meets Qiu at the bus station. He starts to keep an eye on the girl and they become friends since then.",4.6,2014,"['Comedy', 'GL', 'Manhua', 'Romance', 'Shoujo-ai', 'Webtoons', 'School Life']",https://cdn.anime-planet.com/manga/primary/sq-begin-w-your-name-1-190x258.jpg?t=1625913638,SQ: Begin W/Your Name!,236,Manhua,1,Oct 2015 - Oct 2015,59722,https://myanimelist.net/manga/93516/SQ__Begin_W_Your_Name,https://cdn.myanimelist.net/r/100x140/images/manga/3/165495.jpg?s=2ff190d4b76358733e11dea3ebf5f4f2,8.36
Vinland Saga,"Ten years ago, a strong warrior named Thors lost his life in a fight with Askeladd - a powerful and ruthless Viking. Having witnessed his demise, Thors’ son, Thorfinn, became consumed by hatred and vowed to exact revenge on his father’s killer in an honorable duel. With nowhere to go, Thorfinn was recruited onto Askeladd’s ship and began working with the crew as they pillage settlements and trick naive armies. Now, the young boy spends his days honing his battle skills while carrying out Askeladd’s bidding in order to earn his reward of a duel with the vicious captain. But despite having failed in all his bouts with the man he despises so much, will the day ever come when Thorfinn can finally defeat Askeladd and lay his father’s memory to rest?",4.6,2005,"['Action', 'Adventure', 'Drama', 'Seinen', 'Death of a Loved One', 'England', 'Europe', 'Hand to Hand Combat', 'Historical', 'Medieval', 'Psychological', 'Revenge', 'Swordplay', 'Weak to Strong', 'Violence', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/vinland-saga-1-285x389.jpg?t=1633674473,Vinland Saga,7,Manga,?,Apr 2005 -,279101,https://myanimelist.net/manga/642/Vinland_Saga,https://cdn.myanimelist.net/r/100x140/images/manga/2/188925.jpg?s=a2df0a0c933caf33570baebc02721284,9.05
Heesu in Class 2,"Heesu’s world revolves around Chanyoung, his best friend and secret crush. He doesn’t mind cheering Chanyoung from the sidelines or listening to all his girl problems. He doesn’t care if people only know him as “Chanyoung’s friend.” Then one day, Heesu starts hearing his name everywhere. On the bus, in the halls, during lunch… Turns out, there’s a rumor going around school (Got a love problem? Find Heesu in Class 2 and he’ll tell you what to do!) and with that, Heesu suddenly finds himself the center of attention. But how could he give anyone advice? He doesn’t even know what to do about his own crush!",4.6,2017,"['BL', 'Manhwa', 'Romance', 'Shounen-ai', 'Webtoons', 'Childhood Friends', 'Full Color', 'School Life']",https://cdn.anime-planet.com/manga/primary/heesu-in-class-2-1-190x253.jpg?t=1625917510,Heesu in Class 2,654,Manhwa,4,Nov 2017 - Jun 2019,5188,https://myanimelist.net/manga/127332/Heesu_in_Class_2,https://cdn.myanimelist.net/r/100x140/images/manga/3/239496.jpg?s=2717093c702e5e9a0391aebbcc7198c7,8.05
Blue Period.,"Yatora is the perfect high school student, with good grades and lots of friends. It’s an effortless performance, and, ultimately … a dull one. But he wanders into the art room one day, and a lone painting captures his eye, awakening him to a kind of beauty he never knew. Compelled and consumed, he dives in headfirst—and he’s about to learn how savage and unforgiving art can be!",4.6,2017,"['Drama', 'Seinen', 'Art', 'Psychological', 'School Club', 'School Life', 'Nudity', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/blue-period-1-190x266.jpg?t=1625918712,Blue Period,64,Manga,?,Jun 2017 -,114323,https://myanimelist.net/manga/107931/Blue_Period,https://cdn.myanimelist.net/r/100x140/images/manga/2/204827.jpg?s=a4b4785dc95cf363e18977dfae0be1d1,8.65
Kaichou wa Maid-sama! Marriage,This entry currently doesn't have a synopsis. Check back soon!,4.6,2013,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Collections', 'Crossover', 'School Life']",https://cdn.anime-planet.com/manga/primary/kaichou-wa-maid-sama-marriage-1-190x298.jpg?t=1625916637,Kaichou wa Maid-sama!: Marriage,385,Manga,1,Nov 2013 - Apr 2018,15320,https://myanimelist.net/manga/103989/Kaichou_wa_Maid-sama__Marriage,https://cdn.myanimelist.net/r/100x140/images/manga/2/210825.jpg?s=2310bddc71121e07fbeadc74e6940c10,8.23
Return of the Blossoming Blade,"When Cheongmyeong of the Mount Hua Sect awakens a hundred years in the future, his last memories are of a bloody battle against the Leader of the Demonic Cult, the evil Cheonma. The battle almost saw the end of the Ten Great Sects of ancient China, when Cheongmyeong ended the hard-fought struggle by striking down Cheonma. Soon after, he succumbed to his wounds, filled with regret at their pyrrhic victory. All is not lost, however, as he awakens to his second chance at life. Shocked to find his beloved Mount Hua Sect reduced to a mere shadow of itself in the present day, Cheongmyeong embarks on a journey to restore Mount Hua to its former glory.",4.6,2021,"['Adventure', 'Comedy', 'Fantasy', 'Manhwa', 'Webtoons', 'Cultivation', 'Full Color', 'Martial Arts', 'Reincarnation', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/return-of-the-blossoming-blade-1-285x400.webp?t=1649675723,Return of the Blossoming Blade,435,Manhwa,?,Mar 2021 -,11094,https://myanimelist.net/manga/146878/Return_of_the_Blossoming_Blade,https://cdn.myanimelist.net/r/100x140/images/manga/2/275074.jpg?s=92301b1f9cf53a98363d17afb06b76fe,8.18
Chainsaw Man,"Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!",4.6,2018,"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Demons', 'Emotional Abuse', 'Explicit Violence', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/chainsaw-man-1-285x428.jpg?t=1634713911,Chainsaw Man,40,Manga,?,Dec 2018 -,562333,https://myanimelist.net/manga/116778/Chainsaw_Man,https://cdn.myanimelist.net/r/100x140/images/manga/3/216464.jpg?s=c7d1ad15111807c546abcea31702cbab,8.75
Oshi no Ko,"In the entertainment industry, lying is both your strongest weapon and an exceptional form of love. Goro, a gynecologist and a massive B-Komachi stan, finds his life turned upside down when his newest patient turns out to be B-Komachi member Ai-chan herself! Despite the industry seeing children as a idol's death sentence, the 16-year-old Ai still desperately wants to give birth. So under the cover of secrecy, Goro helps the young idol with her prenatal care... only to be attacked and killed the night she's due to give birth. Reincarnated as one of her newborn twins, Goro (now Aquamarine Hoshino) gets to spend 24 hours a day in the arms of his favourite idol! But can a ditzy young idol with a life full of lies make a good mother? And what of Ruby, his suspiciously verbose sister?",4.6,2020,"['Drama', 'Seinen', 'Slice of Life', 'Acting', 'Idols', 'Psychological', 'Reincarnation', 'Showbiz', 'Siblings', 'Social Media', 'Bullying', 'Emotional Abuse', 'Mature Themes', 'Suicide', 'Violence']",https://cdn.anime-planet.com/manga/primary/oshi-no-ko-1-190x266.jpg?t=1625925590,"""Oshi no Ko""",58,Manga,?,Apr 2020 -,143435,https://myanimelist.net/manga/126146/Oshi_no_Ko,https://cdn.myanimelist.net/r/100x140/images/manga/3/233991.jpg?s=e80185859cf043e978c9126daba4fb38,8.68
Slam Dunk,"Sakuragi Hanamichi is a delinquent who's so unpopular with girls that he's been rejected fifty times. Haruko Akagi is the only girl who isn't scared of him; instead she's impressed with Sakuragi's athleticism and, convinced that he would do well, introduces him to the Shohoko basketball team. Desperate to impress Haruko and believing that she is the girl of his dreams, Sakuragi joins the team in spite of his initial reluctance. Surprisingly, Sakuragi is a natural at the sport regardless of his reputation for being hot-tempered and immature. From now on Sakuragi must work together with his teammates, including his rival Rukawa, to fulfill their captain's dream of winning the national championship. That is, if they have what it takes!",4.6,1990,"['Comedy', 'Shounen', 'Sports', 'Basketball', 'School Life', 'Weak to Strong', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/slam-dunk-1-285x428.jpg?t=1634712626,Slam Dunk,6,Manga,31,Sep 1990 - Jun 1996,156001,https://myanimelist.net/manga/51/Slam_Dunk,https://cdn.myanimelist.net/r/100x140/images/manga/2/258749.jpg?s=2e008592f97e2dd216ad2e96db57d274,9.08
Blanc,"Rocker Hikaru and studious Rihito met and fell in love when they were high school classmates. Now, three years after graduation, Hikaru is still in their hometown trying to get his music career going while Rihito is studying in Kyoto. The two are desperate to make their long-distance relationship work, but can young love overcome adult hardships?",4.6,2018,"['BL', 'Drama', 'Romance', 'Yaoi', 'Mature Romance']",https://cdn.anime-planet.com/manga/primary/blanc-1-190x271.jpg?t=1625917719,blanc,144,Manga,2,Feb 2018 - Sep 2020,7243,https://myanimelist.net/manga/112988/blanc,https://cdn.myanimelist.net/r/100x140/images/manga/2/239600.jpg?s=0c1b4e16bf4c65543e5299a1408c7aa2,8.49
Seasons of Blossom,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter -- love blossoms in all seasons.",4.6,2020,"['Comedy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'School Life']",https://cdn.anime-planet.com/manga/primary/seasons-of-blossom-1-285x403.webp?t=1649550805,Seasons of Blossom,268,Manhwa,?,Jun 2020 - Mar 2023,6094,https://myanimelist.net/manga/145539/Seasons_of_Blossom,https://cdn.myanimelist.net/r/100x140/images/manga/3/257932.jpg?s=dc82a9b142ea59e4e3af9f0830cb0a1f,8.33
King's Maker: Triple Crown,"The King is back. With the defeat of his father, Wolfgang Goldenleonard has achieved all that he's sought -- the love of Shin Soohyuk, the power of the throne, and vengeance over the kingdom's tyrannical ruler. But, Soohyuk, a ""possession"" of the former king, views their rocky relationship as one of war trophy and victor, despite Wolfgang showering him with affection. As uncertainty grows in the royal courts, forces beyond their control are preparing a second coup d'etat. Will these two be able to keep a grasp on the throne and on each other?",4.6,2019,"['BL', 'Fantasy', 'Manhwa', 'Romance', 'Shounen-ai', 'Webtoons', 'Full Color', 'Mature Romance', 'Medieval', 'Opposites Attract', 'Political', 'Royalty', 'Sexual Content']",https://cdn.anime-planet.com/manga/primary/kings-maker-triple-crown-1-190x276.jpg?t=1625922329,King's Maker: Triple Crown,1187,Manhwa,?,Jun 2019 -,2588,https://myanimelist.net/manga/135094/Kings_Maker__Triple_Crown,https://cdn.myanimelist.net/r/100x140/images/manga/1/242716.jpg?s=7fd21a2925385992bd6a6d850c2621cc,7.82
SSS-Class Revival Hunter,"In the mysterious, RPG dungeon-like Tower, Confucius Kim lives a mundane existence, envying all the star hunters. One day, his wish for more is granted with a legendary skill to copy others’ abilities… at the cost of his life. Before he can make sense of it, he’s killed by the #1 hunter, the Flame Emperor! But this activates his skill and now he’s copied a new one, the ability to travel back in time upon death. How will Confucius use these skills to outplay the competition and rise to the top?",4.6,2020,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Psychological', 'Supernatural', 'Suicide', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/sss-class-revival-hunter-1-285x399.webp?t=1644507200,SSS-Class Revival Hunter,839,Manhwa,?,Dec 2020 -,17926,https://myanimelist.net/manga/146909/SSS-Class_Revival_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/1/263446.jpg?s=ba08c173257ccefbe111478ebed8a7e7,7.95
Kono Oto Tomare!,"Since the graduation of the senior members of the club, Takezou ends up being the sole member of the ""Koto"" (traditional Japanese string instrument) club. Now that the new school year has begun, Takezou will have to seek out new members into the club, or the club will become terminated. Out of nowhere, a new member barges into the near-abandoned club room, demanding to join the club. How will Takezou be able to keep his club alive and deal with this rascal of a new member?",4.6,2012,"['Drama', 'Romance', 'Shounen', 'Music', 'School Club', 'School Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/kono-oto-tomare-1-285x451.jpg?t=1633408519,Kono Oto Tomare!,52,Manga,?,Aug 2012 -,39250,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,https://cdn.myanimelist.net/r/100x140/images/manga/3/116653.jpg?s=20224898bbd294d5a58d31b1f3652951,8.69
