title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
After School Lessons for Unripe Apples,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group “The Fire Boys”, and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn’t appreciate her efforts to get to know him. What’s up with that?",4.6,2020,"['Manhwa', 'Romance', 'Webtoons', 'Full Color', 'School Life']",https://cdn.anime-planet.com/manga/primary/after-school-lessons-for-unripe-apples-1-285x399.jpg?t=1628026456,After School Lessons for Unripe Apples,318,Manhwa,?,Dec 2020 -,2418,https://myanimelist.net/manga/147448/After_School_Lessons_for_Unripe_Apples,https://cdn.myanimelist.net/r/100x140/images/manga/1/261508.jpg?s=fd7dfb77b32fb03455f88d204213f9aa,8.29
Little Rabbit and the Big Bad Leopard,"Vivi is a... wererabbit?! As a creature that’s supposed to transform into a human, Vivi is a failure, demonized as cursed and sent off to her doom. Luckily, her demise is cut short as Ahin of the Black Leopard Clan saves her. But with every threat and command this temperamental heir tosses at Vivi, she’s questioning her safety (and sanity). Surrounded by carnivores and their strong pheromones, she'll try to survive the chaos while stuck in her rabbit form. Will she figure out how to transform and tap into the power within her cute, furry self?",4.6,2021,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Animal Transformation', 'Full Color', 'Rabbits', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/little-rabbit-and-the-big-bad-leopard-1-285x399.jpg?t=1634004914,Little Rabbit and the Big Bad Leopard,2663,Manhwa,?,May 2021 -,2779,https://myanimelist.net/manga/147981/Little_Rabbit_and_the_Big_Bad_Leopard,https://cdn.myanimelist.net/r/100x140/images/manga/2/274100.jpg?s=11c57944d7ed9525cd0800a3d7ef8858,7.52
One Room Angel,"There are a lot of things that Kouki doesn't have - no hobbies, no friends, no lover, no stable job, and no will to live. So when a random tussle with some kids gets him stabbed, he thinks maybe this is finally his ticket out of this crappy life. But just as he's about to pass out he sees a beautiful ""angel""... How is Kouki supposed to cope when less than a month later, he's mysteriously healed, has astronomical bills to pay, and suddenly has the same beautiful angel as his amnesiac roommate?",4.6,2017,"['BL', 'Drama', 'Yaoi', 'Angels', 'Interspecies Relationship', 'Non-Human Protagonists', 'Roommates', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/one-room-angel-1-190x270.jpg?t=1625924649,One Room Angel,541,Manga,1,Oct 2017 - Dec 2018,4751,https://myanimelist.net/manga/119931/One_Room_Angel,https://cdn.myanimelist.net/r/100x140/images/manga/2/226252.jpg?s=9e1ffb60c768376539a91caa92f7577b,8.11
Nana,"Nana K. is a hopeless romantic who is co-dependent on everyone around her and falls in love at first sight with any and all men, even married ones; Nana O. is a wannabe rock star who has had to break up with the love of her life so that she can find her own path as a singer. As Nana K. boards a train to Tokyo, she longs to finally be with her beloved boyfriend Shouji; as Nana O. boards the same train to Tokyo, she plans to live her dream with only the guitar on her back. The two meet by chance both on the train and in the city - ultimately choosing to live together - and though they are opposites in every way the girls quickly become close friends. Together, Nana and Nana will learn the bittersweet truth about love, loss, and the growth that comes because of it.",4.6,2000,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life', 'Adult Couples', 'Cancelled', 'Mature Romance', 'Mature Themes', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/nana-1-190x285.jpg?t=1625908082,Nana,36,Manga,21,May 2000 - May 2009,128202,https://myanimelist.net/manga/28/Nana,https://cdn.myanimelist.net/r/100x140/images/manga/1/262324.jpg?s=d674cb1c46e3a97ceccbe915794de2a5,8.78
Tower of God,"Fame. Glory. Power. Anything in your wildest dreams is possible when you reach the top of the Tower of God. Those lucky enough to be chosen by the tower ascend each floor in hopes of fulfilling their dreams, but to succeed, they must complete dangerous and deadly tests along the way. But there are others who can enter the structure on their own free will; these ""irregulars"" are feared by many and are said to leave chaos and change in their wake. Twenty-Fifth Baam is one such irregular who begins to climb the Tower of God in hopes of reuniting with his childhood friend Rachel, but as he soon discovers, this perilous path will put him in the crosshairs of fierce competitors, untrustworthy rivals and terrifying monsters, and he might not make it out alive...",4.6,2010,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'High Stakes Games', 'Play or Die', 'PVE', 'PVP', 'Mature Themes', 'Suicide', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/tower-of-god-1-190x262.jpg?t=1625910684,Tower of God,215,Manhwa,?,Jul 2010 -,175744,https://myanimelist.net/manga/122663/Tower_of_God,https://cdn.myanimelist.net/r/100x140/images/manga/2/223694.jpg?s=a9641d951e30e1f5f14860db1de9c802,8.39
Kami Nomi zo Shiru Sekai,"Dating sim master Keima Katsuragi wants nothing more than to immerse himself in the 2D world, chasing digital girlfriends. But when the so-called 'Capturing God' answers a mysterious email from an unknown sender, Keima finds himself chasing down real-life ladies in an attempt to help the peppy demon Elsie de Lute Irma capture 'lost souls' escaped from the depths of hell. Now, lest the explosive collar around his neck detonate, Keima must convince various girls to fall in love with him in order to scare out the souls hiding in their hearts.",4.6,2008,"['Comedy', 'Romance', 'Shounen', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/kami-nomi-zo-shiru-sekai-1-190x299.jpg?t=1625908369,Kami nomi zo Shiru Sekai,157,Manga,26,Apr 2008 - Apr 2014,107462,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/2/188974.jpg?s=7be486fe9d85ff483213b40f52da4bf1,8.47
Gintama,"It is the Edo period, an era when samurai are still of great importance - at least they used to be, until all sorts of aliens called the Amanto decided to take over the government and revolutionize Japan so it wouldn't be so uncivilized. In Edo, now a city where anachronism is the rule rather than the exception, Gintoki, a former samurai, tries to make a living doing odd jobs. During the course of his work, Shinpachi, a would-be samurai; and Kagura, an absurdly strong girl, join him. Of course, he has them work for free, how else would Gintoki be able to buy Shonen Jump and strawberry milk, let alone pay for unimportant things like rent if he has to support someone other than himself?",4.6,2003,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Supernatural', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/gintama-1-285x432.jpg?t=1634713010,Gintama,75,Manga,77,Dec 2003 - Jun 2019,91669,https://myanimelist.net/manga/44/Gintama,https://cdn.myanimelist.net/r/100x140/images/manga/3/267795.jpg?s=e22fba05cf57fda0df86fbf18ed2636b,8.62
Light and Shadow,"It’s a rude insult when lowly and headstrong servant Edna comes to marry Duke Eli, instead of the noble daughter he expected. But the ambitious maid hides an even bigger secret behind her obvious ruse – one that could change the kingdom’s very history. Can the two find freedom, redemption – and love – without drawing their swords on each other?",4.6,2016,"['Drama', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Historical', 'Mature Romance', 'Nobility', 'Political', 'Explicit Sex', 'Violence', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/light-and-shadow-1-190x268.jpg?t=1625918778,Light and Shadow,2259,Manhwa,?,Dec 2016 -,3464,https://myanimelist.net/manga/147168/Light_and_Shadow,https://cdn.myanimelist.net/r/100x140/images/manga/3/261202.jpg?s=9834b9746348fa5f93e6f31a119b3209,7.58
Unintentional Love Story,"When Ji Wonyoung's direct superior at work is fired due to a corruption scandal, Wonyoung - in spite of being innocent of any wrongdoing - finds himself unceremoniously discharged from the company as well. Desperate to get his job back, Wonyoung tries to curry favor by tracking down the chairman's favorite artist. He finds the missing man running a pottery shop in a remote town, but it's clear that Yoon Taejun has no desire to be found. Wonyoung decides to hang around town and secretly report whatever he can learn about Taejun's self-imposed exile; but when feelings begin to develop between the two, Wonyoung starts to question his sexuality, his motivations, and whether he even wants to go back to his old life in Seoul. But what will happen when Taejun learns Wonyoung has been spying on him this entire time?",4.6,2018,"['BL', 'Drama', 'Manhwa', 'Romance', 'Webtoons', 'Yaoi', 'Adult Couples', 'Art', 'LGBT Themes', 'Mature Romance', 'Explicit Sex']",https://cdn.anime-planet.com/manga/primary/unintentional-love-story-1-190x266.jpg?t=1625918690,Unintentional Love Story,1566,Manhwa,6,May 2018 - Sep 2020,1087,https://myanimelist.net/manga/145605/Unintentional_Love_Story,https://cdn.myanimelist.net/r/100x140/images/manga/1/258478.jpg?s=66be7aaf8bddbdd44b5b01a124f725d6,7.72
The Monstrous Duke's Adopted Daughter,"The Speràdo family line possesses a secret: shadow magic. But it’s been 100 years since someone last wielded it. When Marquis Speràdo tries to sacrifice Leslie for her favored sister Ellie, little does he know that this awakens the power of darkness in her instead. To escape her family’s greed and abuse, Leslie’s out to make a deal with the Monstrous Duke: adopt her, and her powers will be at the duke’s disposal. Will Leslie escape her parents’ cruel grip, or succumb to their evil exploits?",4.6,2019,"['Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Magic', 'Nobility', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Based on a Web Novel', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/the-monstrous-dukes-adopted-daughter-1-190x266.jpg?t=1625922070,The Monstrous Duke's Adopted Daughter,2658,Manhwa,?,Apr 2019 - Jul 2022,5360,https://myanimelist.net/manga/140136/The_Monstrous_Dukes_Adopted_Daughter,https://cdn.myanimelist.net/r/100x140/images/manga/1/249936.jpg?s=19a09e9369ea6f3a782877d4470e1ddc,7.52
